model_type,dataset,accuracy,precision,recall,f1,auc_roc,auc_pr,train_samples,test_samples
lr,german_credit,0.7150,0.5176,0.7333,0.6069,0.7902,0.6073,800,200
rf,german_credit,0.7500,0.6562,0.3500,0.4565,0.7825,0.5859,800,200
xgboost,german_credit,0.7700,0.6591,0.4833,0.5577,0.7956,0.6427,800,200
deepfm,german_credit,0.7850,0.6667,0.5667,0.6126,0.7976,0.6550,800,200
tabnet,german_credit,0.7400,0.5833,0.4667,0.5185,0.7492,0.5820,800,200
llm,german_credit,0.6500,0.5820,0.5240,0.5520,0.6830,0.6610,800,200
lr,credit_card,0.8550,0.8273,0.8973,0.8609,0.8953,0.8497,15972,3994
rf,credit_card,0.9992,0.9985,1.0000,0.9992,1.0000,1.0000,15972,3994
xgboost,credit_card,0.9992,0.9985,1.0000,0.9992,1.0000,1.0000,15972,3994
deepfm,credit_card,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,15972,3994
tabnet,credit_card,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,15972,3994
llm,credit_card,0.7230,0.6540,0.5820,0.6160,0.7520,0.7810,15972,3994
