dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std
credit_card,LR,0.854,0.0175,0.86,0.0363,0.895,0.0347,0.877,0.0215,0.903,0.0269,0.932,0.0341
credit_card,RF,0.994,0.0285,0.932,0.023,0.782,0.0412,0.851,0.037,0.998,0.0215,0.995,0.0294
credit_card,XGBoost,0.998,0.0175,0.951,0.03,0.823,0.0222,0.883,0.0229,0.999,0.0218,0.998,0.0324
credit_card,DeepFM,1.0,0.0106,0.962,0.0312,0.851,0.0429,0.905,0.0319,1.0,0.0153,1.0,0.0341
credit_card,TabNet,0.999,0.0213,0.943,0.036,0.803,0.0357,0.868,0.0375,0.999,0.02,0.999,0.0253
credit_card,LLM,0.723,0.0227,0.654,0.0363,0.582,0.032,0.616,0.0349,0.752,0.0119,0.781,0.0304
credit_card,LLM+RAG,0.784,0.0193,0.721,0.0223,0.683,0.0466,0.701,0.026,0.823,0.0219,0.854,0.032
german_credit,LR,0.715,0.0199,0.607,0.0287,0.592,0.0469,0.599,0.0373,0.79,0.0188,0.772,0.0308
german_credit,RF,0.77,0.0242,0.574,0.0283,0.523,0.0262,0.547,0.0367,0.808,0.0144,0.791,0.0259
german_credit,XGBoost,0.775,0.0123,0.563,0.0277,0.504,0.0267,0.533,0.0262,0.796,0.02,0.781,0.0395
german_credit,DeepFM,0.77,0.0221,0.621,0.0371,0.563,0.0259,0.591,0.0323,0.792,0.0268,0.774,0.0263
german_credit,TabNet,0.66,0.0261,0.55,0.0372,0.483,0.0359,0.515,0.0384,0.601,0.0153,0.592,0.0373
german_credit,LLM,0.65,0.0163,0.582,0.037,0.524,0.0208,0.552,0.0378,0.683,0.0157,0.661,0.0362
german_credit,LLM+RAG,0.73,0.0218,0.661,0.0251,0.643,0.0382,0.652,0.0348,0.762,0.0104,0.743,0.0286
